ERROR:root: id=18057抓取user时发生错误2016-05-10 23:26:19 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/818246
ERROR:root: id=17059抓取user时发生错误2016-05-10 23:26:20 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/781133
ERROR:root: id=33037抓取user时发生错误2016-05-10 23:26:21 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1358707
ERROR:root: id=25058抓取user时发生错误2016-05-10 23:26:21 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1071057
ERROR:root: id=10150抓取user时发生错误2016-05-10 23:26:21 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/510938
ERROR:root: id=19055抓取user时发生错误2016-05-10 23:26:21 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/853328
ERROR:root: id=9151抓取user时发生错误2016-05-10 23:26:23 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/473307
ERROR:root: id=37035抓取user时发生错误2016-05-10 23:26:23 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1539507
ERROR:root: id=20059抓取user时发生错误2016-05-10 23:26:23 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/892990
ERROR:root: id=13154抓取user时发生错误2016-05-10 23:26:23 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/616781
ERROR:root: id=3154抓取user时发生错误2016-05-10 23:26:23 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/229306
ERROR:root: id=16060抓取user时发生错误2016-05-10 23:26:23 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/738543
ERROR:root: id=34035抓取user时发生错误2016-05-10 23:26:24 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1403650
ERROR:root: id=144抓取user时发生错误2016-05-10 23:26:24 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/110899
ERROR:root: id=38037抓取user时发生错误2016-05-10 23:26:25 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1585394
ERROR:root: id=39037抓取user时发生错误2016-05-10 23:26:25 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1633667
ERROR:root: id=21062抓取user时发生错误2016-05-10 23:26:25 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/933087
ERROR:root: id=11160抓取user时发生错误2016-05-10 23:26:25 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/541726
ERROR:root: id=17060抓取user时发生错误2016-05-10 23:26:25 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/781243
ERROR:root: id=18058抓取user时发生错误2016-05-10 23:26:26 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/818256
ERROR:root: id=22055抓取user时发生错误2016-05-10 23:26:26 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/970765
ERROR:root: id=28060抓取user时发生错误2016-05-10 23:26:26 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1170765
ERROR:root: id=30033抓取user时发生错误2016-05-10 23:26:27 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1239174
ERROR:root: id=25059抓取user时发生错误2016-05-10 23:26:27 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/1071061
ERROR:root: id=15066抓取user时发生错误2016-05-10 23:26:27 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/695751
ERROR:root: id=14132抓取user时发生错误2016-05-10 23:26:27 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/656900
ERROR:root: id=4160抓取user时发生错误2016-05-10 23:26:27 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/269341
ERROR:root: id=1153抓取user时发生错误2016-05-10 23:26:28 Error = 'NoneType' object has no attribute 'get_text'---http://i.autohome.com.cn/151883
